No,PREGUNTA ,N° Respuesta,Respuesta,Es correcto,Cargo,Temas,Familia ,Fecha,CARGO 2,CANAL
7,"Pregunta única respuesta. La empresa Finanzas Global S.A. entrega celulares corporativos a sus ejecutivos. Sin embargo, algunos empleados han instalado aplicaciones no autorizadas que ponen en riesgo la información financiera de los clientes. ¿Qué solución de Claro permite controlar este tipo de situaciones?",3.0,Un antivirus móvil gratuito instalado individualmente en cada dispositivo.,FALSO,TMK Móvil,Soluciones VAS,,,TMK Movil,PYME
8,"Pregunta de única respuesta. ""TecnoSoluciones"", una PYME de 15 empleados que brinda servicios de TI, quiere proteger los celulares corporativos de su equipo de ventas que constantemente reciben enlaces sospechosos por WhatsApp y SMS. ¿Qué solución específica del producto aborda este problema?",1.0,Control parental para dispositivos,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
8,"Pregunta de única respuesta. ""TecnoSoluciones"", una PYME de 15 empleados que brinda servicios de TI, quiere proteger los celulares corporativos de su equipo de ventas que constantemente reciben enlaces sospechosos por WhatsApp y SMS. ¿Qué solución específica del producto aborda este problema?",2.0,Protección anti-smishing en mensajes de texto,VERDADERO,TMK Móvil,Super Protect,,,TMK Movil,PYME
8,"Pregunta de única respuesta. ""TecnoSoluciones"", una PYME de 15 empleados que brinda servicios de TI, quiere proteger los celulares corporativos de su equipo de ventas que constantemente reciben enlaces sospechosos por WhatsApp y SMS. ¿Qué solución específica del producto aborda este problema?",3.0,Bloqueo de llamadas internacionales,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
9,"Pregunta de única respuesta. ""Consultoría Legal & Asociados"" es muy estricta con la privacidad de datos de sus abogados. Al considerar Lookout, ¿qué garantía de privacidad encuentran en el material?",1.0,Lookout retiene datos de ubicación para análisis,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
9,"Pregunta de única respuesta. ""Consultoría Legal & Asociados"" es muy estricta con la privacidad de datos de sus abogados. Al considerar Lookout, ¿qué garantía de privacidad encuentran en el material?",2.0,Lookout no retiene ni pasa datos personales al administrador,VERDADERO,TMK Móvil,Super Protect,,,TMK Movil,PYME
9,"Pregunta de única respuesta. ""Consultoría Legal & Asociados"" es muy estricta con la privacidad de datos de sus abogados. Al considerar Lookout, ¿qué garantía de privacidad encuentran en el material?",3.0,Lookout comparte datos con terceros para mejora del servicio,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
10,"Pregunta de única respuesta. ""Clínica Santa María"" implementó Lookout y un médico reporta que su dispositivo muestra una alerta de ""jailbreak detectado"". ¿Qué acción toma Lookout en estos casos?",1.0,Bloquea permanentemente el acceso a datos corporativos,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
10,"Pregunta de única respuesta. ""Clínica Santa María"" implementó Lookout y un médico reporta que su dispositivo muestra una alerta de ""jailbreak detectado"". ¿Qué acción toma Lookout en estos casos?",2.0,Elimina automáticamente todas las aplicaciones del dispositivo,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
10,"Pregunta de única respuesta. ""Clínica Santa María"" implementó Lookout y un médico reporta que su dispositivo muestra una alerta de ""jailbreak detectado"". ¿Qué acción toma Lookout en estos casos?",3.0,Muestra una alerta al usuario con recomendaciones para reducir riesgos,VERDADERO,TMK Móvil,Super Protect,,,TMK Movil,PYME
11,"Pregunta de única respuesta. ""Food Delivery Express"" tiene flotilla de 12 moteros. Tras implementar Lookout, un repartidor intenta acceder a un enlace de phishing para robo de credenciales. ¿Qué hace el sistema?",1.0,Detecta y bloquea la navegación al sitio de phishing automáticamente,VERDADERO,TMK Móvil,Super Protect,,,TMK Movil,PYME
11,"Pregunta de única respuesta. ""Food Delivery Express"" tiene flotilla de 12 moteros. Tras implementar Lookout, un repartidor intenta acceder a un enlace de phishing para robo de credenciales. ¿Qué hace el sistema?",2.0,Permite el acceso pero registra el evento,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
11,"Pregunta de única respuesta. ""Food Delivery Express"" tiene flotilla de 12 moteros. Tras implementar Lookout, un repartidor intenta acceder a un enlace de phishing para robo de credenciales. ¿Qué hace el sistema?",3.0,Envía una notificación al administrador después de 24 horas,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
12,"Pregunta de única respuesta. ""Inversiones Financieras Globales"" está particularmente preocupada por el phishing dirigido a dispositivos móviles. ¿Qué dato del material respalda la necesidad urgente de implementar Lookout?",1.0,El 60% de los sitios de phishing están en la dark web,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
12,"Pregunta de única respuesta. ""Inversiones Financieras Globales"" está particularmente preocupada por el phishing dirigido a dispositivos móviles. ¿Qué dato del material respalda la necesidad urgente de implementar Lookout?",2.0,El 80% de los sitios de phishing están diseñados para móvil y 85% de ataques ocurren fuera del correo,VERDADERO,TMK Móvil,Super Protect,,,TMK Movil,PYME
12,"Pregunta de única respuesta. ""Inversiones Financieras Globales"" está particularmente preocupada por el phishing dirigido a dispositivos móviles. ¿Qué dato del material respalda la necesidad urgente de implementar Lookout?",3.0,El 70% de los empleados comparten contraseñas corporativas,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
13,"Pregunta de única respuesta. ""Consultoría Empresarial HC"" tiene un empleado que viaja frecuentemente y necesita acceso seguro desde diferentes ubicaciones. ¿Qué característica de Lookout permite esta conectividad segura?",1.0,Protege sin importar donde se encuentre el usuario,VERDADERO,TMK Móvil,Super Protect,,,TMK Movil,PYME
13,"Pregunta de única respuesta. ""Consultoría Empresarial HC"" tiene un empleado que viaja frecuentemente y necesita acceso seguro desde diferentes ubicaciones. ¿Qué característica de Lookout permite esta conectividad segura?",2.0,Requiere conexión WiFi permanente para funcionar,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
13,"Pregunta de única respuesta. ""Consultoría Empresarial HC"" tiene un empleado que viaja frecuentemente y necesita acceso seguro desde diferentes ubicaciones. ¿Qué característica de Lookout permite esta conectividad segura?",3.0,Solo funciona en horario laboral,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
14,"Pregunta de única respuesta. ""Servicios Integrales CA"" contrató 8 líneas con Lookout. A los 3 meses, un dispositivo es reportado como robado. ¿Qué canal de atención específico debe contactar el administrador para reportar el incidente?",1.0,Línea 123 de emergencias,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
14,"Pregunta de única respuesta. ""Servicios Integrales CA"" contrató 8 líneas con Lookout. A los 3 meses, un dispositivo es reportado como robado. ¿Qué canal de atención específico debe contactar el administrador para reportar el incidente?",2.0,Soporte técnico del fabricante del dispositivo,FALSO,TMK Móvil,Super Protect,,,TMK Movil,PYME
14,"Pregunta de única respuesta. ""Servicios Integrales CA"" contrató 8 líneas con Lookout. A los 3 meses, un dispositivo es reportado como robado. ¿Qué canal de atención específico debe contactar el administrador para reportar el incidente?",3.0,Mesa de soporte *722 de Claro Empresas,VERDADERO,TMK Móvil,Super Protect,,,TMK Movil,PYME
15,"Pregunta de única respuesta. ""Logística Integral SA"" necesita conectar 1,800 dispositivos de rastreo vehicular. ¿Qué bolsa de gigas IoT deberían contratar según la tabla de capacidad?",1.0,10 GB,FALSO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
15,"Pregunta de única respuesta. ""Logística Integral SA"" necesita conectar 1,800 dispositivos de rastreo vehicular. ¿Qué bolsa de gigas IoT deberían contratar según la tabla de capacidad?",2.0,15 GB,FALSO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
15,"Pregunta de única respuesta. ""Logística Integral SA"" necesita conectar 1,800 dispositivos de rastreo vehicular. ¿Qué bolsa de gigas IoT deberían contratar según la tabla de capacidad?",3.0,20 GB,VERDADERO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
16,"Pregunta de única respuesta. Una empresa de telemetría con 4,500 sensores distribuidos quiere centralizar el consumo de datos bajo una sola bolsa. ¿Es posible con esta oferta?",1.0,"No, el máximo son 2,000 líneas",FALSO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
16,"Pregunta de única respuesta. Una empresa de telemetría con 4,500 sensores distribuidos quiere centralizar el consumo de datos bajo una sola bolsa. ¿Es posible con esta oferta?",2.0,"Sí, con la bolsa de 50 GB que soporta hasta 5,000 líneas",VERDADERO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
16,"Pregunta de única respuesta. Una empresa de telemetría con 4,500 sensores distribuidos quiere centralizar el consumo de datos bajo una sola bolsa. ¿Es posible con esta oferta?",3.0,No aplica para servicios M2M,FALSO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
17,Pregunta de única respuesta. Una retail chain con 8 sucursales quiere monitorear sus neveras inteligentes. Cada tienda consume entre 15-35 MB mensuales. ¿Para qué tipo de clientes está diseñada esta solución?,1.0,Solo para entidades gubernamentales,FALSO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
17,Pregunta de única respuesta. Una retail chain con 8 sucursales quiere monitorear sus neveras inteligentes. Cada tienda consume entre 15-35 MB mensuales. ¿Para qué tipo de clientes está diseñada esta solución?,2.0,Para personas naturales con múltiples dispositivos,FALSO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
17,Pregunta de única respuesta. Una retail chain con 8 sucursales quiere monitorear sus neveras inteligentes. Cada tienda consume entre 15-35 MB mensuales. ¿Para qué tipo de clientes está diseñada esta solución?,3.0,Clientes con consumos de datos variables en sus líneas,VERDADERO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
18,"Pregunta de única respuesta. ""Telemetría Avanzada"" actualmente tiene 600 líneas con otro operador y quiere migrar a Claro. ¿Qué ventaja destacaría según el material?",1.0,Las líneas incluyen roaming internacional ilimitado,FALSO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
18,"Pregunta de única respuesta. ""Telemetría Avanzada"" actualmente tiene 600 líneas con otro operador y quiere migrar a Claro. ¿Qué ventaja destacaría según el material?",2.0,No requiere firma de contrato,FALSO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
18,"Pregunta de única respuesta. ""Telemetría Avanzada"" actualmente tiene 600 líneas con otro operador y quiere migrar a Claro. ¿Qué ventaja destacaría según el material?",3.0,Podrá tener todas sus líneas con Claro en un solo CFM,VERDADERO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
19,"Pregunta de única respuesta. Según las condiciones y restricciones, ¿qué tipo de cliente puede acceder a la bolsa de gigas IoT?",1.0,Personas naturales tipo cédula,FALSO,TMK Móvil,Bolsa de Gigas,,,TMK Movil,PYME
19,"Pregunta de única respuesta. Según las condiciones y restricciones, ¿qué tipo de cliente puede acceder a la bolsa de gigas IoT?",2.0,Persona jurídica tipo NIT catalogados como cliente B2B,VERDADERO,Agentes,Bolsa de Gigas,,,TMK Movil,PYME
19,"Pregunta de única respuesta. Según las condiciones y restricciones, ¿qué tipo de cliente puede acceder a la bolsa de gigas IoT?",3.0,Solo entidades educativas,FALSO,Agentes,Bolsa de Gigas,,,TMK Movil,PYME
20,Pregunta de única respuesta. Una empresa de seguridad vehicular necesita que sus dispositivos se conecten a APNs privados. ¿La bolsa de gigas IoT permite este uso?,1.0,"No, solo funciona con APN público de Claro",FALSO,Agentes,Bolsa de Gigas,,,TMK Movil,PYME
20,Pregunta de única respuesta. Una empresa de seguridad vehicular necesita que sus dispositivos se conecten a APNs privados. ¿La bolsa de gigas IoT permite este uso?,2.0,"Sí, aplica para ser utilizado con APNs privados",VERDADERO,Agentes,Bolsa de Gigas,,,TMK Movil,PYME
20,Pregunta de única respuesta. Una empresa de seguridad vehicular necesita que sus dispositivos se conecten a APNs privados. ¿La bolsa de gigas IoT permite este uso?,3.0,Solo para aplicaciones de mensajería,FALSO,Agentes,Bolsa de Gigas,,,TMK Movil,PYME
1,Pregunta de única respuesta: Una empresa de transporte solicita la cancelación inmediata de 10 licencias VAS de geolocalización. ¿Qué información debe registrar el consultor de servicio en el ticket de cancelación dentro de la herramienta de precios?,1.0,"Fecha de corte o inmediata, cantidad de licencias, relación de líneas en Excel y datos del consultor.",VERDADERO,CCP,Novedades Vas,Internet fijo,,CCP,CC
1,Pregunta de única respuesta: Una empresa de transporte solicita la cancelación inmediata de 10 licencias VAS de geolocalización. ¿Qué información debe registrar el consultor de servicio en el ticket de cancelación dentro de la herramienta de precios?,2.0,Solo el nombre del paquete y la fecha de solicitud,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
1,Pregunta de única respuesta: Una empresa de transporte solicita la cancelación inmediata de 10 licencias VAS de geolocalización. ¿Qué información debe registrar el consultor de servicio en el ticket de cancelación dentro de la herramienta de precios?,3.0,Código de cliente y número de factura.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
2,"Pregunta de única respuesta: Un consultor de servicio recibe una solicitud de un cliente que reporta fallas en el servicio de licenciamiento de antivirus VAS. Sin embargo, este tipo de casos debe ser gestionado por otra área. ¿Cuál es el canal adecuado para escalar esta incidencia de manera correcta?",1.0,"Línea *722, que gestiona incidencias de licenciamiento.",VERDADERO,CCP,Novedades Vas,Internet fijo,,CCP,CC
2,"Pregunta de única respuesta: Un consultor de servicio recibe una solicitud de un cliente que reporta fallas en el servicio de licenciamiento de antivirus VAS. Sin embargo, este tipo de casos debe ser gestionado por otra área. ¿Cuál es el canal adecuado para escalar esta incidencia de manera correcta?",2.0, Correo al equipo comercial.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
2,"Pregunta de única respuesta: Un consultor de servicio recibe una solicitud de un cliente que reporta fallas en el servicio de licenciamiento de antivirus VAS. Sin embargo, este tipo de casos debe ser gestionado por otra área. ¿Cuál es el canal adecuado para escalar esta incidencia de manera correcta?",3.0, Chat corporativo de Claro.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
3,"Pregunta de única respuesta: Un cliente solicita adquirir el producto de Servicios con licenciamiento VAS enfocado en productividad y seguridad. El consultor de servicio recibe la solicitud, pero este tipo de gestión debe ser atendida por otro equipo. ¿A qué área debe ser remitido el procedimiento para su correcta atención?",1.0,El comercial asignado,VERDADERO,CCP,Novedades Vas,Internet fijo,,CCP,CC
3,"Pregunta de única respuesta: Un cliente solicita adquirir el producto de Servicios con licenciamiento VAS enfocado en productividad y seguridad. El consultor de servicio recibe la solicitud, pero este tipo de gestión debe ser atendida por otro equipo. ¿A qué área debe ser remitido el procedimiento para su correcta atención?",2.0,El consultor del equipo,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
3,"Pregunta de única respuesta: Un cliente solicita adquirir el producto de Servicios con licenciamiento VAS enfocado en productividad y seguridad. El consultor de servicio recibe la solicitud, pero este tipo de gestión debe ser atendida por otro equipo. ¿A qué área debe ser remitido el procedimiento para su correcta atención?",3.0,Gestor Administrativo,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
4,"Pregunta de única respuesta:Durante una renovación, el área comercial activa un nuevo plan bundle VAS. Antes de ejecutar el cambio de plan en AC. ¿Qué validación debe realizar el consultor de cuidado al cliente para asegurar que el proceso se lleve a cabo correctamente?",1.0,Que el BackOffice VAS haya confirmado la entrega del servicio por parte del aliado.,VERDADERO,CCP,Novedades Vas,Internet fijo,,CCP,CC
4,"Pregunta de única respuesta:Durante una renovación, el área comercial activa un nuevo plan bundle VAS. Antes de ejecutar el cambio de plan en AC. ¿Qué validación debe realizar el consultor de cuidado al cliente para asegurar que el proceso se lleve a cabo correctamente?",2.0,Que el cliente haya firmado el contrato físico,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
4,"Pregunta de única respuesta:Durante una renovación, el área comercial activa un nuevo plan bundle VAS. Antes de ejecutar el cambio de plan en AC. ¿Qué validación debe realizar el consultor de cuidado al cliente para asegurar que el proceso se lleve a cabo correctamente?",3.0,Que el cliente tenga más de una línea activa,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
5,"Pregunta de única respuesta: Durante una auditoría interna, se detecta que varios clientes continúan recibiendo servicios VAS sin que se les haya generado facturación. Si esta situación es atendida por un consultor de servicio, ¿cuál podría ser la causa operativa más probable de esta inconsistencia?",1.0,El sistema de facturación está caído.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
5,"Pregunta de única respuesta: Durante una auditoría interna, se detecta que varios clientes continúan recibiendo servicios VAS sin que se les haya generado facturación. Si esta situación es atendida por un consultor de servicio, ¿cuál podría ser la causa operativa más probable de esta inconsistencia?",2.0, Los clientes tienen contratos regulados.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
5,"Pregunta de única respuesta: Durante una auditoría interna, se detecta que varios clientes continúan recibiendo servicios VAS sin que se les haya generado facturación. Si esta situación es atendida por un consultor de servicio, ¿cuál podría ser la causa operativa más probable de esta inconsistencia?",3.0, No se realizó el escalamiento al aliado en el aplicativo de tarifas y precios.,VERDADERO,CCP,Novedades Vas,Internet fijo,,CCP,CC
6,"Pregunta de única respuesta: Un cliente desea saber si, durante una suspensión temporal de su línea, el servicio de licenciamiento de Lookout Anti VAS también se verá afectado. El consultor de servicio atiende la solicitud y debe brindar una orientación precisa. ¿Qué información debe proporcionarse al cliente en este caso?",1.0,La suspensión afectará tanto la línea como la licencia del servicio.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
6,"Pregunta de única respuesta: Un cliente desea saber si, durante una suspensión temporal de su línea, el servicio de licenciamiento de Lookout Anti VAS también se verá afectado. El consultor de servicio atiende la solicitud y debe brindar una orientación precisa. ¿Qué información debe proporcionarse al cliente en este caso?",2.0,"Solo se suspenderá la licencia, independientemente del estado de la línea.",FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
6,"Pregunta de única respuesta: Un cliente desea saber si, durante una suspensión temporal de su línea, el servicio de licenciamiento de Lookout Anti VAS también se verá afectado. El consultor de servicio atiende la solicitud y debe brindar una orientación precisa. ¿Qué información debe proporcionarse al cliente en este caso?",3.0,"La licencia no se verá afectada y continuará activa en el sistema, incluso si la línea está suspendida.",VERDADERO,CCP,Novedades Vas,Internet fijo,,CCP,CC
7,"Pregunta de única respuesta: Durante una renovación de servicios en una empresa del sector tecnológico, el área comercial activa un nuevo plan bundle VAS para varias líneas corporativas. El consultor de cuidado al cliente recibe una solicitud de cambio de plan a través del correo serviciosvaseyn@claro.com.co, enviada por el BackOffice VAS tras validar la entrega del servicio por parte del aliado. ¿Cuál debe ser la acción inmediata del consultor para completar correctamente el proceso?",1.0,"Ejecutar el cambio de plan inmediato en AC y responder al correo confirmando la acción, con copia al comercial.",VERDADERO,CCP,Novedades Vas,Internet fijo,,CCP,CC
7,"Pregunta de única respuesta: Durante una renovación de servicios en una empresa del sector tecnológico, el área comercial activa un nuevo plan bundle VAS para varias líneas corporativas. El consultor de cuidado al cliente recibe una solicitud de cambio de plan a través del correo serviciosvaseyn@claro.com.co, enviada por el BackOffice VAS tras validar la entrega del servicio por parte del aliado. ¿Cuál debe ser la acción inmediata del consultor para completar correctamente el proceso?",2.0,Esperar confirmación del cliente antes de realizar el cambio de plan en AC.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
7,"Pregunta de única respuesta: Durante una renovación de servicios en una empresa del sector tecnológico, el área comercial activa un nuevo plan bundle VAS para varias líneas corporativas. El consultor de cuidado al cliente recibe una solicitud de cambio de plan a través del correo serviciosvaseyn@claro.com.co, enviada por el BackOffice VAS tras validar la entrega del servicio por parte del aliado. ¿Cuál debe ser la acción inmediata del consultor para completar correctamente el proceso?",3.0," Registrar el cambio en el sistema sin responder al correo, ya que el BackOffice ya fue notificado.",FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
8,"Pregunta de única respuesta: Durante una revisión de procesos internos, se detecta que el área comercial ha estado enviando solicitudes de activación de servicios VAS directamente al equipo de servicio, omitiendo el canal establecido. Esta práctica ha generado retrasos en la activación y confusión en la trazabilidad de los casos. Ante una solicitud enviada por esta vía, ¿cuál debe ser la acción correcta que debe tomar el equipo de cuidado al cliente para reportar adecuadamente al área comercial?",1.0,Enviar la solicitud directamente al equipo de servicio para agilizar la gestión,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
8,"Pregunta de única respuesta: Durante una revisión de procesos internos, se detecta que el área comercial ha estado enviando solicitudes de activación de servicios VAS directamente al equipo de servicio, omitiendo el canal establecido. Esta práctica ha generado retrasos en la activación y confusión en la trazabilidad de los casos. Ante una solicitud enviada por esta vía, ¿cuál debe ser la acción correcta que debe tomar el equipo de cuidado al cliente para reportar adecuadamente al área comercial?",2.0,Registrar la solicitud en el sistema y esperar que el cliente confirme la activación.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
8,"Pregunta de única respuesta: Durante una revisión de procesos internos, se detecta que el área comercial ha estado enviando solicitudes de activación de servicios VAS directamente al equipo de servicio, omitiendo el canal establecido. Esta práctica ha generado retrasos en la activación y confusión en la trazabilidad de los casos. Ante una solicitud enviada por esta vía, ¿cuál debe ser la acción correcta que debe tomar el equipo de cuidado al cliente para reportar adecuadamente al área comercial?",3.0,"Canalizar la solicitud al BackOffice de VAS, siguiendo el procedimiento establecido",VERDADERO,CCP,Novedades Vas,Internet fijo,,CCP,CC
9,Pregunta de única respuesta: Un cliente solicita el cambio de número a través de un canal no carterizado. El consultor de cuidado al cliente recibe la solicitud. ¿Qué acción debe tomar el consultor para gestionar correctamente esta solicitud según las políticas establecidas?,1.0,Realizar el cambio directamente en AC.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
9,Pregunta de única respuesta: Un cliente solicita el cambio de número a través de un canal no carterizado. El consultor de cuidado al cliente recibe la solicitud. ¿Qué acción debe tomar el consultor para gestionar correctamente esta solicitud según las políticas establecidas?,2.0, Cancelar la solicitud por falta de autorización.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
9,Pregunta de única respuesta: Un cliente solicita el cambio de número a través de un canal no carterizado. El consultor de cuidado al cliente recibe la solicitud. ¿Qué acción debe tomar el consultor para gestionar correctamente esta solicitud según las políticas establecidas?,3.0, Escalar la solicitud al líder Claro asignado para gestionar el proceso.,VERDADERO,CCP,Novedades Vas,Internet fijo,,CCP,CC
10,"Pregunta de única respuesta: Un consultor de servicio consulta con una compañera sobre el procedimiento de activación de licencias Lookout Básico y Lookout Intermedio en una misma línea de cliente. Ante este procedimiento, ¿es posible realizar dicha solicitud?",1.0,"Se pueden activar varios paquetes del mismo servicio, siempre que se asignen a líneas diferentes.",FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
10,"Pregunta de única respuesta: Un consultor de servicio consulta con una compañera sobre el procedimiento de activación de licencias Lookout Básico y Lookout Intermedio en una misma línea de cliente. Ante este procedimiento, ¿es posible realizar dicha solicitud?",2.0,No es posible activar múltiples paquetes del mismo servicio en una sola línea. ,VERDADERO,CCP,Novedades Vas,Internet fijo,,CCP,CC
10,"Pregunta de única respuesta: Un consultor de servicio consulta con una compañera sobre el procedimiento de activación de licencias Lookout Básico y Lookout Intermedio en una misma línea de cliente. Ante este procedimiento, ¿es posible realizar dicha solicitud?",3.0,Es posible activar múltiples paquetes del mismo servicio en una sola línea si el cliente lo solicita.,FALSO,CCP,Novedades Vas,Internet fijo,,CCP,CC
11,"Pregunta de única respuesta: Un cliente solicita la reposición de una bolsa de dinero con descuento. Al revisar el Portal PAC, el consultor nota que la bolsa está vencida. ¿Cómo debe proceder el consultor para atender al cliente de forma efectiva y conforme a las políticas?",1.0,Proceder con la reserva y aplicar el descuento manualmente,FALSO,CCP,Reposición,Móvil,,CCP,CC
11,"Pregunta de única respuesta: Un cliente solicita la reposición de una bolsa de dinero con descuento. Al revisar el Portal PAC, el consultor nota que la bolsa está vencida. ¿Cómo debe proceder el consultor para atender al cliente de forma efectiva y conforme a las políticas?",2.0,Inactivar la bolsa en el Portal PAC y escalar el caso para crear una nueva negociación.,VERDADERO,CCP,Reposición,Móvil,,CCP,CC
11,"Pregunta de única respuesta: Un cliente solicita la reposición de una bolsa de dinero con descuento. Al revisar el Portal PAC, el consultor nota que la bolsa está vencida. ¿Cómo debe proceder el consultor para atender al cliente de forma efectiva y conforme a las políticas?",3.0,Solicitar al cliente que pague el equipo sin descuento.,FALSO,CCP,Reposición,Móvil,,CCP,CC
12,"Pregunta de única respuesta: Un cliente empresarial solicita reposición a cuotas. Al validar la Matriz de Crédito, el consultor detecta que no cumple con los montos requeridos. ¿Qué debe hacer el consultor para gestionar esta solicitud correctamente y brindar una atención adecuada?",1.0,Escalar el caso al supervisor para aprobación manual.,FALSO,CCP,Reposición,Móvil,,CCP,CC
12,"Pregunta de única respuesta: Un cliente empresarial solicita reposición a cuotas. Al validar la Matriz de Crédito, el consultor detecta que no cumple con los montos requeridos. ¿Qué debe hacer el consultor para gestionar esta solicitud correctamente y brindar una atención adecuada?",2.0,Cancelar la solicitud por falta de cupo.,FALSO,CCP,Reposición,Móvil,,CCP,CC
12,"Pregunta de única respuesta: Un cliente empresarial solicita reposición a cuotas. Al validar la Matriz de Crédito, el consultor detecta que no cumple con los montos requeridos. ¿Qué debe hacer el consultor para gestionar esta solicitud correctamente y brindar una atención adecuada?",3.0,Gestionar la reposición mediante orden de compra en un solo contado.,VERDADERO,CCP,Reposición,Móvil,,CCP,CC
13,Pregunta de única respuesta: Una empresa solicita reposición masiva para 20 líneas. El consultor debe iniciar el proceso en Poliedro. ¿Cuál es el procedimiento correcto que debe seguir el consultor en este caso?,1.0,Crear una tarea individual por cada línea.,FALSO,CCP,Reposición,Móvil,,CCP,CC
13,Pregunta de única respuesta: Una empresa solicita reposición masiva para 20 líneas. El consultor debe iniciar el proceso en Poliedro. ¿Cuál es el procedimiento correcto que debe seguir el consultor en este caso?,2.0,Solicitar al cliente que envíe un correo con los datos de las líneas.,FALSO,CCP,Reposición,Móvil,,CCP,CC
13,Pregunta de única respuesta: Una empresa solicita reposición masiva para 20 líneas. El consultor debe iniciar el proceso en Poliedro. ¿Cuál es el procedimiento correcto que debe seguir el consultor en este caso?,3.0,"Ingresar al módulo de procesos masivos, descargar el formato, diligenciarlo y cargarlo en el sistema.",VERDADERO,CCP,Reposición,Móvil,,CCP,CC
14,"Pregunta de única respuesta: Durante la validación de una solicitud de reposición, el consultor nota que el sistema bloquea el botón “continuar” en la herramienta de Poliedro. ¿Cuál podría ser la causa más probable de este bloqueo y cómo debería proceder el consultor?",1.0,El documento del cliente presenta un bloqueo en la herramienta de Documentos Bloqueados.,VERDADERO,CCP,Reposición,Móvil,,CCP,CC
14,"Pregunta de única respuesta: Durante la validación de una solicitud de reposición, el consultor nota que el sistema bloquea el botón “continuar” en la herramienta de Poliedro. ¿Cuál podría ser la causa más probable de este bloqueo y cómo debería proceder el consultor?",2.0,El cliente no tiene permanencia activa.,FALSO,CCP,Reposición,Móvil,,CCP,CC
14,"Pregunta de única respuesta: Durante la validación de una solicitud de reposición, el consultor nota que el sistema bloquea el botón “continuar” en la herramienta de Poliedro. ¿Cuál podría ser la causa más probable de este bloqueo y cómo debería proceder el consultor?",3.0, El equipo no está disponible en inventario,FALSO,CCP,Reposición,Móvil,,CCP,CC
15,Pregunta de única respuesta: Un asesor recibe una solicitud de reposición con modificación de precio que incluye un combo de audífonos y banda. ¿Qué procedimiento debe seguir el asesor para gestionar correctamente esta solicitud?,1.0,Rechazar la solicitud si el combo no está permitido según las políticas vigentes.,VERDADERO,CCP,Reposición,Móvil,,CCP,CC
15,Pregunta de única respuesta: Un asesor recibe una solicitud de reposición con modificación de precio que incluye un combo de audífonos y banda. ¿Qué procedimiento debe seguir el asesor para gestionar correctamente esta solicitud?,2.0,Procesar la solicitud únicamente si el cliente acepta el precio ajustado y cumple con los requisitos.,FALSO,CCP,Reposición,Móvil,,CCP,CC
