Observable,Id_Observable,Nueva_Habilidad,Perfil,Rol
"Durante el manejo de objeciones, el asesor mantiene una comunicación personalizada, adaptando su respuesta al perfil o intereses específicos del cliente, demostrando empatía y utilizando frases puente como: 'Entiendo lo que dices', 'Comprendo tu preocupación', 'Es válido lo que mencionas', 'Tiene sentido lo que comentas' ...",OBS_00259,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Accede rápidamente a las plataformas digitales (CRM, Salesforce. App de venta etc.) para personalizar el documento con los datos del cliente, garantizando el proceso de digitación.",OBS_00260,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Inicia la interacción con un saludo claro, cercano y amable con el prospecto, generando conexión y confianza y mantiene una conversación fluida haciendo uso de la escucha activa, realizando preguntas abiertas, con el fin de identificar de manera estratégica la necesidad del cliente (Antes de argumentar el asesor parafrasea lo indicado por el cliente, demostrando entendimiento de la información suministrada).",OBS_00261,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Aplica de manera estratégica técnicas de cierre (informado, alternativo o de beneficios), resume la oferta e inicia la toma de datos para la gestión. Antes de finalizar, indaga por posibles referidos, invita al cliente a conocer más beneficios del servicio contratado y promueve el uso de plataformas digitales como la web o la App Mi Claro.",OBS_00262,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Ante una negativa del cliente la recibe con respeto, agradece la atención y, no muestra incomodidad en tono o palabras, plantea alternativas o propone un seguimiento.",OBS_00263,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Escucha con atención las objeciones del cliente y responde cada una de ellas de manera ordenada, evitando distracciones o desvíos, para así mantener la conversación enfocada en el objetivo de la llamada.",OBS_00264,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
Maneja adecuadamente el 100% de sus herramientas de gestión para consultar información del cliente.,OBS_00265,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Durante el cierre de la venta, el asesor refuerza el acuerdo utilizando lenguaje positivo, con frases como: 'Excelente decisión', 'Estoy seguro de que te irá muy bien con este producto/servicio', 'Gracias por confiar en nosotros'...",OBS_00266,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Durante la interacción, el asesor mantiene un tono de voz profesional y adecuado, escucha activamente y responde con claridad y respeto ante comentarios negativos del cliente. No expresa frustración mediante palabras, tono, pausas o actitudes que afecten el desarrollo de la conversación.",OBS_00267,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Consulta de manera ágil las PTAR disponibles en Conectados, para así apoyar su discurso comercial.",OBS_00268,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Aplica de manera estratégica técnicas de cierre (informado, alternativo o de beneficios), resume la oferta e inicia la toma de datos para la gestión. Antes de finalizar, indaga por posibles referidos, invita al cliente a conocer más beneficios del servicio contratado y promueve el uso de plataformas digitales como la web o la App Mi Claro.",OBS_00269,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Inicia la interacción con un saludo claro y cercano generando confianza. Mantiene una conversación fluida aplicando escucha activa y preguntas abiertas para identificar estratégicamente la necesidad del cliente (Antes de argumentar, parafrasea lo expresado por el cliente para demostrar comprensión).",OBS_00270,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Durante la llamada, el asesor usa pausas o silencios en el momento adecuado para dar espacio al cliente con el fin de que entienda la información brindada, responder o mostrar interés, sin forzar la conversación.",OBS_00271,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Durante el cierre de la venta, el asesor refuerza el acuerdo utilizando lenguaje positivo, con frases como: 'Excelente decisión', 'Estoy seguro de que te irá muy bien con este producto/servicio', 'Gracias por confiar en nosotros'....",OBS_00272,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Durante el manejo de objeciones, el asesor mantiene una comunicación personalizada, adaptando su respuesta al perfil o necesidades específicas del cliente, demostrando empatía y utilizando frases puente como: 'Entiendo lo que dices', 'Comprendo tu preocupación', 'Es válido lo que mencionas', 'Tiene sentido lo que comentas'...",OBS_00273,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Escucha con atención las objeciones del cliente y responde cada una de ellas de manera ordenada, evitando distracciones o desvíos, para así mantener la conversación enfocada en el objetivo de la llamada.",OBS_00274,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Presenta y argumenta la oferta con seguridad y elocuencia, destacando ventajas y beneficios diferenciales. Utiliza un lenguaje sencillo, evita tecnicismos y adapta el discurso con un tono persuasivo, resaltando beneficios alineados a las necesidades del cliente.",OBS_00275,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Durante la llamada, el asesor se anticipa y aborda posibles objeciones antes de que surjan. Si el cliente presenta objeciones (precio, producto, servicio, confianza, tiempo o comparativas), las rebate destacando los beneficios y diferenciales de Claro, incluso si implican un mayor costo. En caso de rechazo, indaga con preguntas abiertas para identificar si la decisión obedece a falta de información, valor percibido o dudas pendientes.",OBS_00276,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Accede rápidamente a las plataformas digitales (CRM, Salesforce. App de venta etc.) para personalizar el documento con los datos del cliente, garantizando el proceso de digitación.",OBS_00277,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
Maneja adecuadamente el 100% de sus herramientas de gestión para consultar información del cliente.,OBS_00278,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Asegura que cada paso del proceso quede completo, garantizando la conformidad del cliente y haciendo un uso efectivo el tiempo.",OBS_00279,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Ante una negativa del cliente la recibe con respeto, agradece la atención y, no muestra incomodidad en tono o palabras, plantea alternativas o propone un seguimiento.",OBS_00280,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
El asesor valida o confirma nombre del cliente con el fin de mantener en adelante una conversación personalizada,OBS_00281,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Ante un cliente difícil, mantiene la calma hablando en un tono de voz claro, empático, demostrando interés al escuchar el cliente, evitando interrupciones.",OBS_00282,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Durante la llamada, el asesor se anticipa a posibles objeciones y las aborda antes de que el cliente las exprese. Si el cliente menciona alguna objeción (Precio, Producto, Servicio, Confianza, Tiempo, Comparativas), el asesor rebate la objeción informando cómo Claro ofrece mayores beneficios de valor agregado y adicionales que hacen única la oferta (incluso pagando un poco más). Si el cliente rechaza la oferta sin explicar el motivo, el asesor indaga con preguntas de valor (abiertas) para identificar si la decisión se debe a falta de información, falta de valor percibido o alguna otra duda pendiente.",OBS_00283,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Aplica de manera estratégica alguna de las técnicas de cierre (informado, alternativo, y de beneficios), para avanzar al proceso de digitación. Resume de manera puntual las características de la oferta, e inicia con toma de datos requeridos para el proceso de digitación. Antes de finalizar la llamada, indaga posibles contactos que puedan ser gestionados como referidos. El asesor invita al cliente a conocer más sobre los beneficios del servicio contratado, destacando cómo pueden satisfacer sus necesidades. Impulsa el uso de las plataformas digitales como la página web o la APP Mi Claro.",OBS_00284,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Outbound),ASESOR
"Construye vínculos de confianza con diferentes interlocutores: co-diseña planes de acción y media conflictos entre canales, áreas internas y eventualmente con clientes.",OBS_00285,,CONOCIMIENTOS (DESARROLLO DE EQUIPOS Y STAKEHOLDERS),ESPECIALISTA
"Compartir comunicados efectivos con la ayuda de IA o diferentes herramientas tecnológicas, generando tips o sugerencias que ayuden al cierre de los negocios.",OBS_00286,,CONOCIMIENTOS (DESARROLLO DE EQUIPOS Y STAKEHOLDERS),ESPECIALISTA
"Desarrolla planes específicos: crea rutas de crecimiento por canal, al entender sus diversas necesidades.",OBS_00287,,CONOCIMIENTOS (DESARROLLO DE EQUIPOS Y STAKEHOLDERS),ESPECIALISTA
"Implementa micro-aprendizajes con sus equipos: Por medio de casos reales, acompañamientos en terreno, demostración de abordaje y negociación etc.",OBS_00288,,CONOCIMIENTOS (DESARROLLO DE EQUIPOS Y STAKEHOLDERS),ESPECIALISTA
"Crea y gestiona comunidades digitales con interlocutores clave: grupos en Teams/Whatsapp para compartir tips, solicitudes y resolver problemas en tiempo real.",OBS_00289,,CONOCIMIENTOS (DESARROLLO DE EQUIPOS Y STAKEHOLDERS),ESPECIALISTA
"Presenta los objetivos y proposito de la capacitación con claridad, vinculándolos directamente con el rol de los participantes y los indicadores del negocio.",OBS_00290,,CONOCIMIENTOS (DESARROLLO DE EQUIPOS Y STAKEHOLDERS),ESPECIALISTA
"Acompañar de manera cercana al equipo, guiándolo con instrucciones precisas y modelando con el ejemplo, para garantizar el cumplimiento de los objetivos.",OBS_00291,,CONOCIMIENTOS (EJECUCIÓN Y OPTIMIZACIÓN COMERCIAL),ESPECIALISTA
"Analiza de manera estratégica con visión integral el negocio, para su gestión y desempeño.",OBS_00292,,CONOCIMIENTOS (EJECUCIÓN Y OPTIMIZACIÓN COMERCIAL),ESPECIALISTA
"Interviene operativamente en fallas: participa en conjunto con áreas de apoyo, para diagnosticar demoras, negocia ASN con áreas técnicas y propone soluciones win-win",OBS_00293,,CONOCIMIENTOS (EJECUCIÓN Y OPTIMIZACIÓN COMERCIAL),ESPECIALISTA
"Usa data en negociaciones: muestra dashboards/gráficas a interlocutores clave con impacto de demoras en servicio, churn y/o ventas.",OBS_00294,,CONOCIMIENTOS (EJECUCIÓN Y OPTIMIZACIÓN COMERCIAL),ESPECIALISTA
Activa protocolos de emergencia: brinda acceso remoto inmediato a sus equipos y es un habilitador para que sus procesos sean más efectivos.,OBS_00295,,CONOCIMIENTOS (EJECUCIÓN Y OPTIMIZACIÓN COMERCIAL),ESPECIALISTA
"Utiliza herramientas digitales como MovilBox, To Do o Planner para hacer seguimiento de procesos, entregables y tareas de su equipo y si es necesario genera resúmenes de desempeño con IA, liberando tiempo administrativo.",OBS_00296,,CONOCIMIENTOS (EJECUCIÓN Y OPTIMIZACIÓN COMERCIAL),ESPECIALISTA
Facilita sesiones de co-creación dando soluciones creativas y sistematiza los accionables para entregar a sus equipos priorizando su gestión comercial.,OBS_00297,,CONOCIMIENTOS (ESTRATEGIA COMERCIAL Y ANALÍTICA),ESPECIALISTA
Traduce la información técnica del líder en objetivos de aprendizaje claros y medibles.,OBS_00298,,CONOCIMIENTOS (ESTRATEGIA COMERCIAL Y ANALÍTICA),ESPECIALISTA
"Identifica relaciones clave en los indicadores de gestión (actividades diarias) y de negocio (productividad, cumplimiento), y desarrolla y/o maneja tableros o dashboards para implementar planes de acción.",OBS_00299,,CONOCIMIENTOS (ESTRATEGIA COMERCIAL Y ANALÍTICA),ESPECIALISTA
"Identifica, ubica y comprende el valor de todas las fuentes de información disponibles.",OBS_00300,,CONOCIMIENTOS (ESTRATEGIA COMERCIAL Y ANALÍTICA),ESPECIALISTA
"Activa planes correctivos en 24h al detectar bajo desempeño, productividad o Metas, convoca líderes de canal, co-crea acciones priorizadas y establece revisiones diarias.",OBS_00301,,CONOCIMIENTOS (ESTRATEGIA COMERCIAL Y ANALÍTICA),ESPECIALISTA
